%time,field.data
1621612874090033612,-0.000848217507787
1621612874090985787,0.00493159683124
1621612874091983064,-0.00300423338218
1621612874092956672,-0.00189291981822
1621612874093983353,0.00367116634459
1621612874094997620,-0.00121366086925
1621612874095982780,0.00132762650007
1621612874097033247,-0.00183132753628
1621612874098100782,0.00169393903326
1621612874098985667,0.00131733473852
1621612874100016968,-0.000646819046435
1621612874101028058,0.00245040608471
1621612874102091535,6.78956328937e-05
1621612874102971108,0.00125322641886
1621612874103949579,0.000577819687431
1621612874104954451,0.00193778772373
1621612874105964286,0.000436141735283
1621612874107040459,0.00246129840986
1621612874108049879,0.000181010384237
1621612874109019164,0.0014169484811
1621612874110000027,0.00101472216563
1621612874110973876,0.00122071797459
1621612874111966140,-0.000760771675212
1621612874113066751,0.00326414470309
1621612874113968299,0.000452443954635
1621612874114961878,0.000245159067158
1621612874115968784,0.00172077156346
1621612874116967342,0.00134346115455
1621612874118079605,-0.00190419283497
1621612874118964701,0.00349400279065
1621612874119974043,0.000280152673948
1621612874120981847,-0.00121446895984
1621612874121999623,0.00224623657907
1621612874123003309,-0.000108361384532
1621612874123986145,-0.000733745096904
1621612874124989499,-0.000299640481871
1621612874126050528,0.00146066375561
1621612874127124930,-0.00044378691888
1621612874128021321,-0.00216863032487
1621612874129010823,0.00206058676833
1621612874130010998,-0.00142114748203
1621612874130961226,0.00100395552749
1621612874131968407,-0.00152360014949
1621612874132988333,-0.000429863936557
1621612874133966625,7.38102359232e-05
1621612874135010074,-0.00205825770805
1621612874136061106,-0.00117232689711
1621612874136973141,0.000337685364338
1621612874137990239,0.0011190840794
1621612874138972328,-0.00070167582622
1621612874139968711,-0.00338007615674
1621612874140967692,0.00113339372365
1621612874141985459,0.000181281620604
1621612874142981218,-0.00360430850188
1621612874143958998,0.00326728230282
1621612874144987957,-0.00179479319007
1621612874146029067,-0.000331969444933
1621612874146960790,-0.000497532163246
1621612874147950484,-0.00145089388737
1621612874148945294,0.00177313832095
1621612874149971496,-0.00269172657608
1621612874150958593,0.00199438139181
1621612874151986607,0.000128965757185
1621612874152998069,-0.00142821682769
1621612874154003947,-0.000389916677057
1621612874154998604,0.00202826165452
1621612874156000724,-0.000650422451676
1621612874157071602,-0.00233961094209
1621612874158001416,0.00139033924051
1621612874158996540,0.00200471660461
1621612874159997877,-0.00141784736529
1621612874161002946,-0.0019775223441
1621612874161985561,-2.86985102349e-05
1621612874162993316,0.00593712671149
1621612874164074022,-0.00327476072959
1621612874165078526,0.00218164490273
1621612874165984600,0.0012493001782
1621612874166944315,0.000894594536116
1621612874167950898,-0.00355315050449
1621612874168944624,0.00264335338673
1621612874170022464,0.000875764116781
1621612874170993710,0.000448850199453
1621612874172005233,0.00141625095262
1621612874172999769,-0.00157759394248
1621612874173996870,-0.000528302279479
1621612874174982012,0.0029582053378
1621612874176041674,9.24825069859e-05
1621612874177011962,-0.00138294128083
1621612874178016560,0.00399997166056
1621612874178980543,-0.00158134401795
1621612874179959112,-0.00175644122813
1621612874181035793,0.000238192720103
1621612874182008299,0.00133069849106
1621612874182966437,-0.000877076863026
1621612874183953019,0.000765106590417
1621612874184977466,-0.000424017623124
1621612874185991408,0.000534450200096
1621612874186973702,-0.00204721926278
1621612874187967484,-9.54565695377e-05
1621612874188959233,0.000652953556668
1621612874189986065,-0.00264023911611
1621612874190990614,-0.000898058146737
1621612874191999309,0.00260026277843
1621612874193080632,0.000680499161132
1621612874194002540,-0.00451217723885
1621612874194968276,-0.00114628652659
1621612874195959954,0.000818195597385
1621612874196974027,-0.000370210750722
1621612874197993145,-0.00152901481976
1621612874199003615,-0.000485549411011
1621612874199968686,-0.00110041757417
1621612874200983314,0.00057781825491
1621612874201997933,-0.00374606297415
1621612874203065666,0.000300654020458
1621612874204042671,0.00222911858727
